mass_1,mass_2,lambda_1,lambda_2,chirp_mass,mass_ratio,total_mass,lambda_tilde,event_name
1.48663451799629,1.1566830596133113,367.4354798656238,291.33477946841094,1.1397806605364225,0.7780547576497197,2.6433175776096016,357.51608920170116,GW170817
1.413522053375925,1.1215050033223544,257.53118007705456,215.1837918647531,1.0946260079696613,0.7934117480826393,2.5350270566982793,252.11813027412018,GW170817
1.4969535031776557,1.340955756474829,250.95828488716325,152.62990258291012,1.2330308849476683,0.8957898516074929,2.8379092596524846,211.89893081171846,GW170817
1.5871551019814574,1.3887783328553966,266.9878025461818,346.81849991752324,1.2918935753514986,0.8750111007560631,2.975933434836854,302.07656032694166,GW170817
1.5041869131318715,1.41493838446171,163.64794922641576,103.41240888751271,1.2699103218916836,0.9406665967566911,2.9191252975935815,136.7595199810384,GW170817
1.390879611604417,1.273336121524395,505.4818061377206,402.39863285814727,1.158312338070745,0.9154898173074574,2.6642157331288123,463.4140935678025,GW170817
1.580851872372201,1.363616337625385,224.64394241721976,164.69174451739676,1.2774639416311737,0.8625832448040588,2.944468209997586,204.38726028761937,GW170817
1.6072292520669316,1.2677712240508796,202.08260820336082,177.4453790190336,1.240919606950766,0.7887930252765736,2.875000476117811,201.16023774031754,GW170817
1.3907994686038876,1.2266520848294606,260.29492588419174,278.32704003260244,1.1366213776379255,0.8819762392207402,2.617451553433348,270.2903315443145,GW170817
1.5915502353343383,1.333091792963695,260.51033495993045,345.3502552084848,1.2670498452498624,0.8376058533167514,2.924642028298033,297.2824160961527,GW170817
1.457863217707451,1.2749308506750756,413.70506962750534,303.4339582698302,1.1863167547381905,0.8745202123145379,2.7327940683825265,374.3767465074479,GW170817
1.5913719468483898,1.2946629051165306,58.90338079390904,100.71798518033447,1.2482360676177457,0.8135514187494178,2.8860348519649204,75.2413100241134,GW170817
1.4555155383697618,1.2203311074303687,287.15902916652794,350.9622156157797,1.1593230556532375,0.8384184677253191,2.6758466458001307,316.64187050190077,GW170817
1.4563859136041004,1.18347788645155,223.20028000032863,126.4784134929504,1.1416833465890406,0.8126128352359656,2.6398638000556502,195.38848195620892,GW170817
1.5176548745767904,1.226525798370741,166.69784088298897,151.9383336289169,1.1863894741646976,0.8081717516393621,2.7441806729475315,166.4192970965757,GW170817
1.5192100448789252,1.4037878139982602,223.5625864653758,185.85746382301005,1.2711180194403868,0.9240248369409224,2.9229978588771854,207.8902719393076,GW170817
1.490676302231631,1.2474184061268494,466.770740679985,255.80208023043713,1.1861718248440452,0.8368137363285308,2.7380947083584806,398.1667044910528,GW170817
1.5145131062758754,1.173841940524231,329.67096097316636,300.29829991435344,1.1588634619687068,0.7750622531162239,2.6883550468001065,333.85673196182705,GW170817
1.66745734734424,1.4782333161554029,350.6060398203184,152.35330944318957,1.366266529520863,0.8865194174290489,3.145690663499643,272.63414278264537,GW170817
1.398811026647937,1.3191089386102703,302.01385648539747,253.69031682721885,1.1824328684804026,0.9430215472145211,2.7179199652582073,280.710459755412,GW170817
1.3639344142625909,1.179636058736846,280.73652296746866,188.93509768585918,1.1036621817008412,0.8648774064217849,2.543570472999437,248.51502723555376,GW170817
1.455812357046348,1.1968381568256552,164.30425061736076,164.3979460174749,1.1480174507009357,0.8221101785767794,2.652650513872003,168.39807129532312,GW170817
1.5169939777676686,1.2516679108683946,241.12981939139868,147.35572151221942,1.1984772666089674,0.825097481738382,2.768661888636063,212.99556270283205,GW170817
1.4684686767876827,1.3582065514306292,186.02368794304604,167.94628646730087,1.2292582235703566,0.9249135326479997,2.8266752282183116,178.79973622458422,GW170817
1.461265292668752,1.2746012710668775,352.4574990863967,250.38769478801936,1.1875258375252804,0.8722586360338687,2.7358665637356294,316.04110333486824,GW170817
1.5074104478271155,1.3477945266657516,78.77943112340535,93.59620197185691,1.2404682911991067,0.8941125017466575,2.8552049744928674,85.58549140021448,GW170817
1.3619856126649754,1.1245853945389872,290.9178225426922,193.16848301308045,1.0764126728046175,0.82569550227372,2.4865710072039624,262.4357404991742,GW170817
